"filename", "language", "YAML", "Python", "toml", "pip requirements", "Log", "JSON", "JavaScript", "HTML", "XML", "Markdown", "CSS", "comment", "blank", "total"
"e:\Programming\EliteMangaNew\requirements.txt", "pip requirements", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"e:\Programming\EliteMangaNew\static\admin\css\autocomplete.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 48, 261
"e:\Programming\EliteMangaNew\static\admin\css\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 776, 22, 190, 988
"e:\Programming\EliteMangaNew\static\admin\css\changelists.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 277, 7, 61, 345
"e:\Programming\EliteMangaNew\static\admin\css\dashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 7, 28
"e:\Programming\EliteMangaNew\static\admin\css\fonts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"e:\Programming\EliteMangaNew\static\admin\css\forms.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 417, 11, 105, 533
"e:\Programming\EliteMangaNew\static\admin\css\login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 1, 14, 80
"e:\Programming\EliteMangaNew\static\admin\css\responsive.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 748, 28, 217, 993
"e:\Programming\EliteMangaNew\static\admin\css\responsive_rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 2, 16, 85
"e:\Programming\EliteMangaNew\static\admin\css\rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 10, 61, 270
"e:\Programming\EliteMangaNew\static\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"e:\Programming\EliteMangaNew\static\admin\css\vendor\select2\select2.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 427, 0, 58, 485
"e:\Programming\EliteMangaNew\static\admin\css\vendor\select2\select2.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Programming\EliteMangaNew\static\admin\css\widgets.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 458, 8, 100, 566
"e:\Programming\EliteMangaNew\static\admin\img\calendar-icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\Programming\EliteMangaNew\static\admin\img\gis\move_vertex_off.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Programming\EliteMangaNew\static\admin\img\gis\move_vertex_on.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
